geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IE,IT,LI,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK
FR,0.0,0.0,0.0,6609.557,0.0,0.0,15533.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15243.029,0.0,0.0,1330.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12846.612
HR,0.0,0.0,1839.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.3,0.0,2904.3,0.0,0.0,0.0,0.0
HU,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,766.0,0.0,0.0,44.0,0.0,214.0,0.0
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.039
IT,0.0,1.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2965.652,0.0,947.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.972,0.0,657.142,0.0,0.0,0.0,0.0,0.0,0.0,245.293,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.8,0.0,0.0,0.0,0.0,0.0,0.0,2280.0,0.0,0.0,285.3,0.0,0.0,0.0,0.0,0.0
LU,0.0,0.0,0.0,94.843,0.0,0.0,843.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.9,0.0,0.0,0.0,0.0,0.0,0.0
MK,0.0,0.0,0.0,0.0,310.053,0.0,0.0,0.0,0.0,2721.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.32,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,6990.645,0.0,0.0,4397.855,671.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6147.858
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3393.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440.0,0.0,0.0,0.0,0.0,6231.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,3407.599,19.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.443,0.0,3244.912,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,1216.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.799,0.0,0.0,0.0,0.0,16.722,0.0
RS,0.0,0.0,819.863,0.0,149.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.939,496.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.717,832.713,0.0,0.0,0.0,0.0,537.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,1334.0,5024.0,0.0,0.0,15752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6474.0,3076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,167.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3978.88,0.0,0.0,5193.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2952.0,0.0
TR,0.0,0.0,0.0,0.0,120.704,0.0,0.0,0.0,0.0,2667.751,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.1,0.0,0.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,1352.2,262.4,0.0,0.0,0.0,129.9,0.0,0.0,0.0
UK,0.0,0.0,0.0,117.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.593,0.0,0.0,0.0,2184.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
